id,name,symbol,category,tags
1,Bitcoin,BTC,coin,"mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,bitcoin-ecosystem,layer-1,ftx-bankruptcy-estate,2017-2018-alt-season,us-strategic-crypto-reserve,binance-ecosystem,binance-listing"
2,Litecoin,LTC,coin,"mineable,pow,scrypt,medium-of-exchange,privacy,layer-1,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing"
52,XRP,XRP,coin,"medium-of-exchange,enterprise-solutions,xrp-ecosystem,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,ftx-bankruptcy-estate,2017-2018-alt-season,klaytn-ecosystem,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing,iso-20022"
74,Dogecoin,DOGE,coin,"mineable,pow,scrypt,medium-of-exchange,memes,payments,doggone-doggerel,osmosis-ecosystem,ftx-bankruptcy-estate,animal-memes,made-in-america,binance-ecosystem,binance-listing"
328,Monero,XMR,coin,"mineable,pow,medium-of-exchange,privacy,ringct,boostvc-portfolio,electric-capital-portfolio,galaxy-digital-portfolio,layer-1,2017-2018-alt-season,binance-ecosystem,binance-listing,privacy-coins"
512,Stellar,XLM,coin,"medium-of-exchange,enterprise-solutions,decentralized-exchange-dex-token,defi,smart-contracts,hashkey-capital-portfolio,real-world-assets-protocols,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing,iso-20022"
1027,Ethereum,ETH,coin,"pos,smart-contracts,ethereum-ecosystem,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,layer-1,ftx-bankruptcy-estate,sora-ecosystem,rsk-rbtc-ecosystem,world-liberty-financial-portfolio,us-strategic-crypto-reserve,binance-ecosystem,binance-listing,sophon-ecosystem"
1437,Zcash,ZEC,coin,"mineable,pow,equihash,medium-of-exchange,privacy,zero-knowledge-proofs,quantum-resistant,binance-chain,boostvc-portfolio,dcg-portfolio,electric-capital-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,winklevoss-capital-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,layer-1,standard-crypto-portfolio,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing,privacy-coins"
1831,Bitcoin Cash,BCH,coin,"mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,layer-1,2017-2018-alt-season,made-in-america,binance-ecosystem,binance-listing"
1839,BNB,BNB,coin,"marketplace,centralized-exchange,payments,smart-contracts,alameda-research-portfolio,multicoin-capital-portfolio,bnb-chain-ecosystem,layer-1,alleged-sec-securities,celsius-bankruptcy-estate,binance-ecosystem,binance-listing,etherlink-ecosystem,made-in-china"
1958,TRON,TRX,coin,"media,payments,tron-ecosystem,layer-1,dwf-labs-portfolio,alleged-sec-securities,2017-2018-alt-season,tron20-ecosystem,world-liberty-financial-portfolio,binance-ecosystem,binance-listing,made-in-china"
